Repo Name,PRs Opened (<30 days),PRs Opened Int (<30 days),PRs Opened Ext (<30 days),PRs Opened FTC (<30 days),PRs Merged (<30 days),PR turnaround time (<30 days),PRs Closed (<30 days),PRs Open (all time),PRs Merged (all time),PRs Closed (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<30 days),Issues Opened Int (<30 days),Issues Opened Ext (<30 days),Issues Opened FTC (<30 days),Issues Closed (<30 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<30 days),Contributors Int (<30 days),Contributors Ext (<30 days),Contributors FTC (<30 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
nn,538,538,0,2,283,11,233,76,3998,2934,1,7016,6953,55,135,134,1,0,24,591,587,2,261,185,71%,0,0%,1%,25,73,72,1,1,311,301,10,48,4,318
sim,93,93,0,1,50,12,42,1,366,245,0,612,611,1,5,4,1,0,7,54,53,1,19,15,79%,6,32%,3%,114,12,11,1,1,21,19,2,3,1,20
hutb,22,22,0,0,9,10,6,9,2175,964,0,3151,1400,1748,20,20,0,0,3,419,343,76,179,143,80%,129,72%,2%,75,4,4,0,0,278,103,175,520,23,414
PFC,9,9,0,0,8,1,1,0,174,28,0,202,202,0,0,0,0,0,0,28,28,0,3,3,100%,1,33%,4%,61,1,1,0,0,26,26,0,47,4,52
traffic_twin,8,8,0,0,8,16,0,0,113,9,0,122,122,0,2,2,0,0,0,38,38,0,18,17,94%,12,67%,25%,29,2,2,0,0,5,5,0,26,4,20
structure,7,7,0,0,7,12,0,0,30,13,0,43,43,0,7,7,0,0,0,50,50,0,25,20,80%,8,32%,0%,11,2,2,0,0,3,3,0,4,2,1
mujoco_plugin,6,5,1,0,5,7,1,0,18,5,0,23,22,1,6,4,2,0,5,31,25,6,25,19,76%,7,28%,17%,7,4,2,2,0,9,7,2,10,1,15
locomotion,3,3,0,0,2,6,1,0,41,15,0,56,56,0,1,1,0,0,1,42,40,2,17,15,88%,16,94%,8%,8,1,1,0,0,10,8,2,6,2,5
mcp,3,3,0,0,1,7,0,2,22,6,0,30,30,0,6,6,0,0,4,34,34,0,16,14,88%,10,63%,11%,33,3,3,0,0,9,9,0,13,2,11
carla-pedestrians,2,2,0,1,1,16,0,1,33,17,0,51,51,0,1,0,1,0,0,21,19,2,12,10,83%,7,58%,0%,3,2,2,1,1,7,6,2,5,3,6
emotion,1,1,0,0,1,21,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,0,2,2,0,3,1,5
new_eagles,0,0,0,0,0,N/A,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,N/A,0,N/A,100%,2242,0,0,0,0,3,2,1,55,4,16
driving,0,0,0,0,0,N/A,0,0,64,4,0,68,68,0,0,0,0,0,0,49,44,5,5,5,100%,5,100%,0%,34,0,0,0,0,22,17,5,27,0,36
customs,0,0,0,0,0,N/A,0,0,17,6,0,23,23,0,0,0,0,0,0,13,13,0,0,0,N/A,0,N/A,0%,144,0,0,0,0,6,6,0,4,0,6
neuro,0,0,0,0,0,N/A,0,0,345,44,2,389,389,0,0,0,0,0,0,73,65,8,23,21,91%,23,100%,12%,54,0,0,0,0,61,54,7,389,18,118
spm,0,0,0,0,0,N/A,0,0,7,0,0,7,7,0,0,0,0,0,0,1,1,0,0,0,N/A,0,N/A,100%,0,0,0,0,0,2,2,0,2,1,3
object_decoding,0,0,0,0,0,N/A,0,0,4,0,1,4,4,0,0,0,0,0,0,2,2,0,0,0,N/A,0,N/A,0%,466,0,0,0,0,2,2,0,2,1,3
undergraduate,0,0,0,0,0,N/A,0,0,9,1,0,10,10,0,0,0,0,0,0,3,3,0,1,1,100%,1,100%,0%,2,0,0,0,0,4,4,0,6,3,11
onion,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,2,2,0,2,2,100%,1,50%,N/A,N/A,0,0,0,0,1,1,0,2,1,0
utils,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,4,1,3
mot,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,3,2,2
intelligent_traffic,0,0,0,0,0,N/A,0,0,45,4,0,49,37,12,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,6,5,1,28,1,32
end2end_driving,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,1,2
robot_2022,0,0,0,0,0,N/A,0,9,33,9,0,51,51,0,0,0,0,0,0,5,5,0,4,4,100%,4,100%,0%,0,0,0,0,0,17,17,0,4,2,19
note,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,2,1,0
latex,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,3,1,2
traffic_llm,0,0,0,0,0,N/A,0,0,53,8,0,61,59,2,0,0,0,0,0,7,5,2,4,2,50%,4,100%,0%,3,0,0,0,0,14,11,3,24,3,29
matlab,0,0,0,0,0,N/A,0,0,19,4,0,23,22,1,0,0,0,0,0,1,1,0,0,0,N/A,0,N/A,0%,592,0,0,0,0,8,7,1,17,3,20
matlab_pfile_unpack,0,0,0,0,0,N/A,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,4,1,0
matlab_exe_unpack,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,2,2,0
roadrunner,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,1,1,1
roadrunner_scenario,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,1,2
.github,0,0,0,0,0,N/A,0,0,5,1,0,6,6,0,3,3,0,0,0,25,24,1,21,15,71%,13,62%,25%,22,1,1,0,0,7,6,1,8,2,9
carla_0.9.14,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,1,4
engine_bak,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1
matlab_1982,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
computation,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
brain_like_recognition,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
parking_management,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
embodied,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,1,1
information_flow,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
doc,0,0,0,0,0,N/A,0,0,322,84,0,406,404,2,2,1,1,0,1,54,49,5,30,25,83%,22,73%,4%,61,2,1,1,0,65,59,6,122,14,145
mkdocs-deploy-gh-pages,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
log_system,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,0,1,0
mkdocs,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,3,3,0,3,3,100%,0,0%,N/A,N/A,0,0,0,0,1,1,0,3,0,1
engine_doc,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,5,5,0,5,4,80%,5,100%,N/A,N/A,0,0,0,0,1,1,0,7,1,3
neural_circuit,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
UnrealEngine,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,0,0%,1,100%,N/A,N/A,0,0,0,0,1,1,0,8,0,0
carla_rl,0,0,0,0,1,11,0,0,3,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,2,2,0,5,2,5
scenario_runner,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
StreetMap,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
neuro_driving,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
visual_inertial,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
carla-roach,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
master,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,4,3,2
course,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,8,3,4
Self_Driving_Car_Trajectory_Tracking,0,0,0,0,0,N/A,0,0,1,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,2,2,0,1,0,1
pedestrians-video-2-carla,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,1
CARTI_Dataset,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
Carla_3D_Tracking,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
chrono,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,0,0
new_pollutant,0,0,0,0,0,N/A,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,2,2,1
holography,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,2,0
Open-Sora,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
ros-bridge,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
ros,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,2,2,4
data_structure,0,0,0,0,0,N/A,0,0,1,1,1,2,1,1,0,0,0,0,0,3,3,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,4,3,1,4,2,20
ChatScene,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
shenlan_ros,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
rosexplore_ws,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
Carla_Autonomous_Driving,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
Meshroom,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
DReyeVR,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,3,0,1
game,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,3,2,1
CORnet,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
HUD,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
